iter	RMSE
0	2.569173038
1	2.449567247
2	2.33613084
3	2.228640022
4	2.126640544
5	2.029724758
6	1.938123496
7	1.851238561
8	1.768453831
9	1.69054732
10	1.616609412
11	1.546599208
12	1.480432959
13	1.417788458
14	1.358872954
15	1.303050028
16	1.250389649
17	1.200469665
18	1.153382793
19	1.109102579
20	1.067366294
21	1.0281745
22	0.9910541493
23	0.9564320608
24	0.92410433
25	0.8936829278
26	0.8651557134
27	0.8382270997
28	0.8132862203
29	0.7898032262
30	0.7679972965
31	0.7469639196
32	0.7275421724
33	0.7096466808
34	0.6925481342
35	0.6771361254
36	0.6627575485
37	0.6492658734
38	0.636642865
39	0.6249944806
40	0.6144888432
41	0.6017809245
42	0.5920961316
43	0.5836500226
44	0.5755362028
45	0.5683283661
46	0.5609735995
47	0.5548301207
48	0.5491536482
49	0.5437220918
50	0.5387225789
51	0.5341745011
52	0.5296833581
53	0.525093945
54	0.5216746183
55	0.5178367108
56	0.5143597897
57	0.5112652898
58	0.5083717402
59	0.5029041599
60	0.4991744337
61	0.4970982399
62	0.4947262592
63	0.4900938468
64	0.485956759
65	0.484242118
66	0.4804193444
67	0.4771563415
68	0.4739526178
69	0.4711353982
70	0.4683724691
71	0.4670318025
72	0.4648078609
73	0.4633062514
74	0.4612495303
75	0.460086211
76	0.4582038855
77	0.457253037
78	0.4555410432
79	0.4541117379
80	0.453252327
81	0.4517466704
82	0.450901969
83	0.4495127348
84	0.448285185
85	0.4474322733
86	0.4468243649
87	0.4460552976
88	0.4452903686
89	0.4446650244
90	0.4441905046
91	0.4431372351
92	0.4427338572
93	0.4422259766
94	0.4418870383
95	0.4411390792
96	0.4408072423
97	0.4401142326
98	0.4395838813
99	0.4393656845
100	0.4386483812
101	0.438440494
102	0.4378047979
103	0.4373941714
104	0.4368263346
105	0.4365963954
106	0.436358775
107	0.4361431237
108	0.4357330805
109	0.4352284608
110	0.4350148399
111	0.4345778569
112	0.4343434612
113	0.4340650313
114	0.4336779726
115	0.4331738501
116	0.432959861
117	0.4327160298
118	0.4325763151
119	0.4323131309
120	0.4320414871
121	0.4318739226
122	0.4314490155
123	0.431203426
124	0.4308291236
125	0.4304507121
126	0.4300796219
127	0.4299219301
128	0.4297668636
129	0.4296457043
130	0.4293094008
131	0.4290493608
132	0.4288136198
133	0.4285429841
134	0.4284226712
135	0.4282470229
136	0.427900657
137	0.4277184189
138	0.4274562659
139	0.4272806445
140	0.4270501692
141	0.4268657915
142	0.4266058513
143	0.4264307791
144	0.4260717549
145	0.4257940756
146	0.4255229406
147	0.4253888652
148	0.4251532968
149	0.4250251344
150	0.4248564715
151	0.4246696365
152	0.4244451123
153	0.4243581349
154	0.4241009883
155	0.4237936967
156	0.4235868172
157	0.4235054677
158	0.423308254
159	0.4231697027
160	0.4230570843
161	0.4228001996
162	0.4225650492
163	0.422420705
164	0.4222120432
165	0.4220973078
166	0.4218166624
167	0.4215701308
168	0.4214446223
169	0.4210589588
170	0.4209697496
171	0.4207956627
172	0.4206873837
173	0.4205341985
174	0.4203694309
175	0.4202583967
176	0.4201466099
177	0.4199691535
178	0.4198436668
179	0.4196906372
180	0.4194571482
181	0.4193084399
182	0.4191111778
183	0.4189147254
184	0.4187319053
185	0.4186319806
186	0.4184812296
187	0.4183816954
188	0.4180465711
189	0.417862535
190	0.4178009779
191	0.4177305513
192	0.4176078417
193	0.4174605184
194	0.4173755622
195	0.4172773616
196	0.4171466083
197	0.4169737051
198	0.4168795897
199	0.4167290505
200	0.4166111963
201	0.4165321938
202	0.4163913057
203	0.4162140869
204	0.4161260482
205	0.4160493268
206	0.4159102148
207	0.415835289
208	0.4157205718
209	0.4155855931
210	0.415406489
211	0.415311122
212	0.4152057612
213	0.4150958076
214	0.4148079259
215	0.4147563869
216	0.4146908686
217	0.4146282196
218	0.4145578257
219	0.4144953393
220	0.4144220068
221	0.4142368946
222	0.4141573321
223	0.4140511386
224	0.4137920356
225	0.4136008388
226	0.4135245124
227	0.4134514334
228	0.4132713289
229	0.4130436732
230	0.4129414611
231	0.4128791405
232	0.4127817398
233	0.4126411961
234	0.4123458988
235	0.4122588524
236	0.4121978957
237	0.4121593862
238	0.4120533703
239	0.4118932364
240	0.4117549906
241	0.4116306829
242	0.4115451294
243	0.4114749742
244	0.4114140807
245	0.4113512282
246	0.4112615573
247	0.4112063378
248	0.4111377315
249	0.4108609142
250	0.4108246676
251	0.4107743042
252	0.4106894883
253	0.4106223228
254	0.410551091
255	0.4104817229
256	0.4104129907
257	0.4103258426
258	0.4102280186
259	0.4101858018
260	0.4101276564
261	0.4100505996
262	0.4099878332
263	0.4098610514
264	0.4098127547
265	0.4096898284
266	0.4096060311
267	0.4095582342
268	0.4094684396
269	0.4093627817
270	0.4092983734
271	0.4092045775
272	0.4091507209
273	0.4090937052
274	0.4090333855
275	0.4088273971
276	0.4087726412
277	0.4087320521
278	0.4087013601
279	0.408656765
280	0.4086288686
281	0.4085785069
282	0.4085378726
283	0.4084738826
284	0.4084277019
285	0.4083611268
286	0.4082830507
287	0.4081986956
288	0.408120587
289	0.4080584583
290	0.4079845124
291	0.4078988276
292	0.4078287262
293	0.4077530061
294	0.4076489296
295	0.4075907606
296	0.4074854385
297	0.4074500523
298	0.4074029702
299	0.4073369147
300	0.4072742944
301	0.4071824317
302	0.4070734851
303	0.4069827625
304	0.4069240534
305	0.4068544151
306	0.4067047625
307	0.4066640383
308	0.4065941317
309	0.4065040985
310	0.4064055277
311	0.4063688155
312	0.4063359058
313	0.40627784
314	0.406216558
315	0.4061633802
316	0.4060658199
317	0.406011127
318	0.4059755999
319	0.4059304146
320	0.4058984095
321	0.4058613733
322	0.4057975177
323	0.4057628654
324	0.4057101121
325	0.4056374397
326	0.4055694956
327	0.4054679952
328	0.4054455328
329	0.4053880485
330	0.4053361643
331	0.4052743642
332	0.4052352724
333	0.4051798645
334	0.4050381331
335	0.4049838576
336	0.4049061851
337	0.4048538437
338	0.4048116007
339	0.4047513367
340	0.4046971536
341	0.4046489854
342	0.404603526
343	0.4043906572
344	0.4043520518
345	0.4042993829
346	0.4042240074
347	0.4041771781
348	0.404130225
349	0.4040852426
350	0.4040421751
351	0.4039504154
352	0.4039119438
353	0.4038501748
354	0.4037830288
355	0.403727362
356	0.4036801342
357	0.403640933
358	0.4035840707
359	0.4035131909
360	0.4034691885
361	0.4034508601
362	0.403403052
363	0.4032737761
364	0.4032256246
365	0.4031842489
366	0.4031647627
367	0.4031245837
368	0.4030804055
369	0.4030285893
370	0.4029874084
371	0.4029396297
372	0.4029064696
373	0.4028645713
374	0.4028062689
375	0.402773431
376	0.4027284449
377	0.4026786814
378	0.4026459793
379	0.4026077817
380	0.4025576579
381	0.4025181019
382	0.4023288055
383	0.4022557542
384	0.4021735471
385	0.4021350764
386	0.4021187246
387	0.4020702335
388	0.4020237308
389	0.4019046693
390	0.4018675169
391	0.4018252743
392	0.4017749786
393	0.4017053496
394	0.4016449716
395	0.4015589354
396	0.4015378148
397	0.401474461
398	0.401429916
399	0.4013979374
400	0.4013682721
401	0.4012793915
402	0.4012174922
