iter	Passed	Remaining
0	653	652738
1	1231	614736
2	1738	577760
3	2226	554346
4	2666	530603
5	3118	516570
6	3655	518557
7	4147	514244
8	4658	512902
9	5186	513416
10	5600	503554
11	6163	507421
12	6718	510102
13	7208	507695
14	7740	508275
15	8253	507598
16	8737	505210
17	9107	496867
18	9621	496751
19	10048	492359
20	10539	491339
21	11016	489715
22	11490	488081
23	11943	485716
24	12395	483422
25	12738	477201
26	13193	475438
27	13699	475574
28	14191	475176
29	14841	479871
30	15642	488957
31	16166	489033
32	16878	494579
33	17644	501300
34	18065	498091
35	18775	502754
36	19274	501654
37	19774	500599
38	20380	502187
39	20917	502008
40	21356	499522
41	21740	495890
42	22194	493946
43	22583	490673
44	22935	486735
45	23411	485536
46	23835	483312
47	24200	479969
48	24650	478415
49	25093	476776
50	25454	473660
51	26026	474485
52	26565	474677
53	26944	472019
54	27526	472952
55	28015	472262
56	28383	469568
57	28794	467669
58	29312	467517
59	29783	466605
60	30269	465953
61	30654	463771
62	31154	463367
63	31753	464390
64	32170	462762
65	32982	466754
66	33469	466070
67	33924	464969
68	34445	464770
69	34866	463220
70	35417	463414
71	35829	461801
72	36275	460648
73	36831	460886
74	37274	459724
75	37692	458258
76	38165	457485
77	38536	455516
78	38962	454228
79	39519	454472
80	39990	453715
81	40542	453881
82	41019	453191
83	41659	454285
84	42109	453291
85	42507	451761
86	42865	449842
87	43394	449721
88	43870	449061
89	44404	448981
90	44877	448281
91	45357	447654
92	45789	446566
93	46128	444597
94	46624	444158
95	47030	442868
96	47496	442158
97	47971	441529
98	48463	441069
99	48835	439515
100	49302	438843
101	49794	438389
102	50166	436884
103	50696	436771
104	51151	436002
105	51609	435271
106	52045	434360
107	52442	433136
108	52898	432409
109	53364	431767
110	53805	430925
111	54272	430306
112	54708	429440
113	55080	428085
114	55511	427199
115	55896	425973
116	56253	424547
117	56614	423168
118	57042	422306
119	57521	421823
120	57959	421046
121	58346	419906
122	58729	418742
123	59097	417493
124	59520	416644
125	59870	415291
126	60293	414459
127	60650	413178
128	60993	411821
129	61432	411122
130	61855	410324
131	62277	409519
132	62691	408676
133	63060	407541
134	63538	407116
135	63911	406026
136	64390	405613
137	64832	404969
138	65220	403993
139	65636	403198
140	66093	402655
141	66472	401645
142	66844	400597
143	67303	400079
144	67731	399379
145	68590	401205
146	69056	400715
147	69537	400308
148	69996	399778
149	70478	399376
150	70978	399079
151	71370	398169
152	71882	397936
153	72380	397620
154	72770	396717
155	73299	396568
156	73648	395452
157	74144	395124
158	74654	394871
159	75072	394129
160	75481	393345
161	75923	392741
162	76384	392230
163	76852	391761
164	77257	390971
165	77583	389788
166	78008	389108
167	78410	388318
168	78875	387843
169	79254	386946
170	79754	386644
